seed: 4, epochs: 100, algorithm: FedOpt, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 50, batch_size: 64, learning_rate: 0.01, local_epochs: 5, model: lenet, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [0], num_workers: 0, record_time: False, num_adv: 24, attack: NoAttack, defense: SystemAware, attack_params: None, defense_params: {'alpha':2.5,'sim_threshold':0.5}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cpu, output: ./logs/FedOpt/MNIST_lenet/iid/MNIST_lenet_iid_NoAttack_SystemAware_100_50_0.01_FedOpt.txt

Started on Thu Sep 25 18:41:36 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1045	Train loss: 0.0360	Test Acc: 0.1039	Test loss: 0.0361
Epoch 1  		Train Acc: 0.1132	Train loss: 0.0359	Test Acc: 0.1062	Test loss: 0.0360
Epoch 2  		Train Acc: 0.1063	Train loss: 0.0358	Test Acc: 0.1019	Test loss: 0.0359
Epoch 3  		Train Acc: 0.1025	Train loss: 0.0381	Test Acc: 0.1015	Test loss: 0.0358
Epoch 4  		Train Acc: 0.1032	Train loss: 0.0355	Test Acc: 0.1028	Test loss: 0.0356
Epoch 5  		Train Acc: 0.1086	Train loss: 0.0353	Test Acc: 0.1082	Test loss: 0.0353
Epoch 6  		Train Acc: 0.1132	Train loss: 0.0350	Test Acc: 0.1133	Test loss: 0.0350
Epoch 7  		Train Acc: 0.1224	Train loss: 0.0369	Test Acc: 0.1309	Test loss: 0.0344
Epoch 8  		Train Acc: 0.1467	Train loss: 0.0339	Test Acc: 0.1800	Test loss: 0.0335
Epoch 9  		Train Acc: 0.2458	Train loss: 0.0328	Test Acc: 0.3789	Test loss: 0.0319
Epoch 10 		Train Acc: 0.4431	Train loss: 0.0307	Test Acc: 0.5398	Test loss: 0.0288
Epoch 11 		Train Acc: 0.5786	Train loss: 0.0288	Test Acc: 0.6520	Test loss: 0.0231
Epoch 12 		Train Acc: 0.6643	Train loss: 0.0205	Test Acc: 0.7641	Test loss: 0.0156
Epoch 13 		Train Acc: 0.7415	Train loss: 0.0148	Test Acc: 0.8184	Test loss: 0.0109
Epoch 14 		Train Acc: 0.7577	Train loss: 0.0128	Test Acc: 0.8400	Test loss: 0.0090
Epoch 15 		Train Acc: 0.7804	Train loss: 0.0122	Test Acc: 0.8611	Test loss: 0.0079
Epoch 16 		Train Acc: 0.8086	Train loss: 0.0102	Test Acc: 0.8741	Test loss: 0.0071
Epoch 17 		Train Acc: 0.8324	Train loss: 0.0089	Test Acc: 0.8857	Test loss: 0.0065
Epoch 18 		Train Acc: 0.8527	Train loss: 0.0083	Test Acc: 0.8980	Test loss: 0.0058
Epoch 19 		Train Acc: 0.8689	Train loss: 0.0068	Test Acc: 0.9027	Test loss: 0.0052
Epoch 20 		Train Acc: 0.8804	Train loss: 0.0062	Test Acc: 0.9125	Test loss: 0.0047
Epoch 21 		Train Acc: 0.8897	Train loss: 0.0055	Test Acc: 0.9161	Test loss: 0.0043
Epoch 22 		Train Acc: 0.8985	Train loss: 0.0058	Test Acc: 0.9228	Test loss: 0.0041
Epoch 23 		Train Acc: 0.9055	Train loss: 0.0050	Test Acc: 0.9257	Test loss: 0.0038
Epoch 24 		Train Acc: 0.9038	Train loss: 0.0049	Test Acc: 0.9308	Test loss: 0.0037
Epoch 25 		Train Acc: 0.9117	Train loss: 0.0047	Test Acc: 0.9317	Test loss: 0.0035
Epoch 26 		Train Acc: 0.9175	Train loss: 0.0045	Test Acc: 0.9331	Test loss: 0.0034
Epoch 27 		Train Acc: 0.9194	Train loss: 0.0042	Test Acc: 0.9356	Test loss: 0.0033
Epoch 28 		Train Acc: 0.9184	Train loss: 0.0042	Test Acc: 0.9380	Test loss: 0.0032
Epoch 29 		Train Acc: 0.9212	Train loss: 0.0040	Test Acc: 0.9389	Test loss: 0.0031
Epoch 30 		Train Acc: 0.9286	Train loss: 0.0039	Test Acc: 0.9440	Test loss: 0.0030
Epoch 31 		Train Acc: 0.9321	Train loss: 0.0035	Test Acc: 0.9356	Test loss: 0.0032
Epoch 32 		Train Acc: 0.9278	Train loss: 0.0037	Test Acc: 0.9416	Test loss: 0.0029
Epoch 33 		Train Acc: 0.9319	Train loss: 0.0034	Test Acc: 0.9479	Test loss: 0.0027
Epoch 34 		Train Acc: 0.9362	Train loss: 0.0034	Test Acc: 0.9448	Test loss: 0.0028
Epoch 35 		Train Acc: 0.9371	Train loss: 0.0031	Test Acc: 0.9480	Test loss: 0.0027
Epoch 36 		Train Acc: 0.9376	Train loss: 0.0031	Test Acc: 0.9510	Test loss: 0.0025
Epoch 37 		Train Acc: 0.9407	Train loss: 0.0033	Test Acc: 0.9491	Test loss: 0.0025
Epoch 38 		Train Acc: 0.9422	Train loss: 0.0029	Test Acc: 0.9504	Test loss: 0.0024
Epoch 39 		Train Acc: 0.9428	Train loss: 0.0030	Test Acc: 0.9518	Test loss: 0.0024
Epoch 40 		Train Acc: 0.9460	Train loss: 0.0027	Test Acc: 0.9536	Test loss: 0.0023
Epoch 41 		Train Acc: 0.9460	Train loss: 0.0028	Test Acc: 0.9551	Test loss: 0.0023
Epoch 42 		Train Acc: 0.9495	Train loss: 0.0026	Test Acc: 0.9563	Test loss: 0.0022
Epoch 43 		Train Acc: 0.9478	Train loss: 0.0026	Test Acc: 0.9596	Test loss: 0.0021
