seed: 4, epochs: 100, algorithm: FedOpt, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 2, batch_size: 64, learning_rate: 0.01, local_epochs: 5, model: lenet, dataset: MNIST, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [0], num_workers: 0, record_time: False, num_adv: 0, attack: NoAttack, defense: Mean, attack_params: None, defense_params: None, benchmark: False, num_shards: 200, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cpu, output: ./logs/FedOpt/MNIST_lenet/non-iid/MNIST_lenet_non-iid_NoAttack_Mean_100_2_0.01_FedOpt.txt

Started on Wed Oct  8 15:56:59 2025
Generating new dataset split: non-iid
Performing Dirichlet non-iid partition (alpha=0.5)
non-iid partition finished successfully.
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.0688	Train loss: 0.0359	Test Acc: 0.1233	Test loss: 0.0361
Epoch 1  		Train Acc: 0.2406	Train loss: 0.0357	Test Acc: 0.1550	Test loss: 0.0360
Epoch 2  		Train Acc: 0.2812	Train loss: 0.0353	Test Acc: 0.1077	Test loss: 0.0359
Epoch 3  		Train Acc: 0.2156	Train loss: 0.0349	Test Acc: 0.1049	Test loss: 0.0358
Epoch 4  		Train Acc: 0.2328	Train loss: 0.0344	Test Acc: 0.1966	Test loss: 0.0356
Epoch 5  		Train Acc: 0.3891	Train loss: 0.0332	Test Acc: 0.2995	Test loss: 0.0353
Epoch 6  		Train Acc: 0.3969	Train loss: 0.0316	Test Acc: 0.2883	Test loss: 0.0351
Epoch 7  		Train Acc: 0.4375	Train loss: 0.0293	Test Acc: 0.3079	Test loss: 0.0323
Epoch 8  		Train Acc: 0.5312	Train loss: 0.0248	Test Acc: 0.5380	Test loss: 0.0263
Epoch 9  		Train Acc: 0.6500	Train loss: 0.0194	Test Acc: 0.5512	Test loss: 0.0210
Epoch 10 		Train Acc: 0.6812	Train loss: 0.0158	Test Acc: 0.6245	Test loss: 0.0175
Epoch 11 		Train Acc: 0.7625	Train loss: 0.0126	Test Acc: 0.6742	Test loss: 0.0144
Epoch 12 		Train Acc: 0.7609	Train loss: 0.0110	Test Acc: 0.7171	Test loss: 0.0128
Epoch 13 		Train Acc: 0.7812	Train loss: 0.0098	Test Acc: 0.7551	Test loss: 0.0111
Epoch 14 		Train Acc: 0.8078	Train loss: 0.0096	Test Acc: 0.7449	Test loss: 0.0115
Epoch 15 		Train Acc: 0.7953	Train loss: 0.0093	Test Acc: 0.7913	Test loss: 0.0100
Epoch 16 		Train Acc: 0.8516	Train loss: 0.0072	Test Acc: 0.8231	Test loss: 0.0085
Epoch 17 		Train Acc: 0.8672	Train loss: 0.0072	Test Acc: 0.8147	Test loss: 0.0085
Epoch 18 		Train Acc: 0.8500	Train loss: 0.0073	Test Acc: 0.8480	Test loss: 0.0072
Epoch 19 		Train Acc: 0.8821	Train loss: 0.0061	Test Acc: 0.8286	Test loss: 0.0079
Epoch 20 		Train Acc: 0.9045	Train loss: 0.0083	Test Acc: 0.8629	Test loss: 0.0067
Epoch 21 		Train Acc: 0.8891	Train loss: 0.0051	Test Acc: 0.8919	Test loss: 0.0055
Epoch 22 		Train Acc: 0.9000	Train loss: 0.0054	Test Acc: 0.8812	Test loss: 0.0058
Epoch 23 		Train Acc: 0.9187	Train loss: 0.0043	Test Acc: 0.8989	Test loss: 0.0054
Epoch 24 		Train Acc: 0.9000	Train loss: 0.0050	Test Acc: 0.8928	Test loss: 0.0052
Epoch 25 		Train Acc: 0.9156	Train loss: 0.0046	Test Acc: 0.8811	Test loss: 0.0057
