seed: 4, epochs: 100, algorithm: FedOpt, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 6, batch_size: 64, learning_rate: 0.01, local_epochs: 5, model: lenet, dataset: MNIST, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.5, cache_partition: False, gpu_idx: [0], num_workers: 0, record_time: False, num_adv: 2, attack: NoAttack, defense: Mean, attack_params: None, defense_params: None, benchmark: False, num_shards: 200, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cpu, output: ./logs/FedOpt/MNIST_lenet/non-iid/MNIST_lenet_non-iid_NoAttack_Mean_100_6_0.01_FedOpt.txt

Started on Tue Sep 30 18:51:45 2025
Generating new indices
Doing non-iid partition (Dirichlet)
dirichlet alpha: 0.5
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  		Train Acc: 0.1208	Train loss: 0.0360	Test Acc: 0.1117	Test loss: 0.0362
Epoch 1  		Train Acc: 0.1984	Train loss: 0.0356	Test Acc: 0.1612	Test loss: 0.0361
Epoch 2  		Train Acc: 0.2547	Train loss: 0.0352	Test Acc: 0.2550	Test loss: 0.0359
Epoch 3  		Train Acc: 0.3010	Train loss: 0.0347	Test Acc: 0.2537	Test loss: 0.0357
Epoch 4  		Train Acc: 0.3276	Train loss: 0.0340	Test Acc: 0.2807	Test loss: 0.0352
Epoch 5  		Train Acc: 0.3698	Train loss: 0.0320	Test Acc: 0.2959	Test loss: 0.0341
Epoch 6  		Train Acc: 0.3557	Train loss: 0.0299	Test Acc: 0.3268	Test loss: 0.0321
Epoch 7  		Train Acc: 0.4234	Train loss: 0.0271	Test Acc: 0.4932	Test loss: 0.0284
Epoch 8  		Train Acc: 0.5531	Train loss: 0.0229	Test Acc: 0.5213	Test loss: 0.0242
Epoch 9  		Train Acc: 0.6297	Train loss: 0.0185	Test Acc: 0.6486	Test loss: 0.0176
Epoch 10 		Train Acc: 0.7047	Train loss: 0.0146	Test Acc: 0.6901	Test loss: 0.0142
Epoch 11 		Train Acc: 0.7344	Train loss: 0.0123	Test Acc: 0.7445	Test loss: 0.0126
Epoch 12 		Train Acc: 0.7906	Train loss: 0.0103	Test Acc: 0.7863	Test loss: 0.0101
Epoch 13 		Train Acc: 0.8229	Train loss: 0.0088	Test Acc: 0.7861	Test loss: 0.0100
Epoch 14 		Train Acc: 0.8271	Train loss: 0.0087	Test Acc: 0.8428	Test loss: 0.0082
Epoch 15 		Train Acc: 0.8406	Train loss: 0.0077	Test Acc: 0.8349	Test loss: 0.0078
Epoch 16 		Train Acc: 0.8589	Train loss: 0.0068	Test Acc: 0.8658	Test loss: 0.0069
Epoch 17 		Train Acc: 0.8682	Train loss: 0.0066	Test Acc: 0.8657	Test loss: 0.0066
Epoch 18 		Train Acc: 0.8823	Train loss: 0.0055	Test Acc: 0.8792	Test loss: 0.0063
Epoch 19 		Train Acc: 0.8818	Train loss: 0.0058	Test Acc: 0.8795	Test loss: 0.0059
Epoch 20 		Train Acc: 0.9005	Train loss: 0.0052	Test Acc: 0.8881	Test loss: 0.0057
