round,anomaly_mean,comm_kb,energy_mj,rejected,rejected_ratio,reputation_mean,total_updates,val_acc,val_loss
0,0.3385,5206.17,260.309,1,0.03333333333333333,0.978,30,50.72,1.9373
1,0.2925,5206.17,260.309,,,0.954,,90.62,0.314
2,0.2912,5206.17,260.309,,,0.928,,96.9,0.1248
3,0.2894,5206.17,260.309,1,0.03333333333333333,0.894,30,97.67,0.0961
4,0.3585,5206.17,260.309,2,0.06666666666666667,0.884,30,97.87,0.075
5,0.4105,5206.17,260.309,3,0.1,0.866,30,98.11,0.0626
6,0.2823,5206.17,260.309,,,0.843,,98.11,0.0594
7,0.3475,5206.17,260.309,,,0.829,,98.19,0.0654
8,0.3303,5206.17,260.309,2,0.06666666666666667,0.805,30,98.3,0.0637
9,0.3633,5206.17,260.309,2,0.06666666666666667,0.774,30,98.43,0.0502
10,0.3811,5206.17,260.309,1,0.03333333333333333,0.763,30,98.46,0.0487
11,0.2919,5206.17,260.309,,,0.75,,98.41,0.0518
12,0.3795,5206.17,260.309,1,0.03333333333333333,0.727,30,98.54,0.0576
13,0.2754,5206.17,260.309,,,0.708,,98.59,0.0475
14,0.3462,5206.17,260.309,,,0.699,,98.62,0.0502
15,0.3017,5206.17,260.309,,,0.674,,98.64,0.0496
16,0.3327,5206.17,260.309,,,0.659,,98.72,0.0464
17,0.3207,5206.17,260.309,,,0.645,,98.7,0.0473
18,0.3205,5206.17,260.309,,,0.631,,98.73,0.0464
19,0.2951,5206.17,260.309,,,0.621,,98.75,0.045
20,0.3135,5206.17,260.309,,,0.608,,98.78,0.0429
21,0.296,5206.17,260.309,1,0.03333333333333333,0.584,30,98.78,0.0418
22,0.3497,5206.17,260.309,1,0.03333333333333333,0.578,30,98.8,0.0382
23,0.3385,5206.17,260.309,5,0.16666666666666666,0.57,30,98.81,0.0368
24,0.318,5206.17,260.309,7,0.23333333333333334,0.536,30,98.77,0.0654
25,0.4149,5206.17,260.309,9,0.3,0.543,30,98.63,0.2269
26,0.4652,5206.17,260.309,11,0.36666666666666664,0.531,30,98.4,0.5171
27,0.4887,5206.17,260.309,14,0.4666666666666667,0.514,30,97.73,1.0553
28,0.3849,5206.17,260.309,19,0.6333333333333333,0.5,30,93.88,2.0175
29,0.3299,5206.17,260.309,10,0.3333333333333333,0.484,30,67.88,2.221
30,0.2741,5206.17,260.309,9,0.3,0.485,30,91.16,1.2368
31,0.3361,5206.17,260.309,13,0.43333333333333335,0.472,30,97.61,0.4139
32,0.5353,5206.17,260.309,18,0.6,0.454,30,97.68,1.4509
33,0.2668,5206.17,260.309,10,0.3333333333333333,0.432,30,13.33,2.2063
34,0.4521,5206.17,260.309,16,0.5333333333333333,0.428,30,95.75,0.7999
35,0.4434,5206.17,260.309,8,0.26666666666666666,0.416,30,96.6,1.957
36,0.33,5206.17,260.309,7,0.23333333333333334,0.407,30,93.48,1.5356
37,0.2914,5206.17,260.309,6,0.2,0.402,30,96.45,0.3746
38,,5206.17,260.309,,,,,97.81,0.1339
